Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.G.General,MISAU.G.DE37,AMM Membership Card Number,Membership card number for public employees,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE38,Further Comments,Additional free-text notes about the admission,String,,,,,,,,,,,,,,,,,,,,,,LP74431-5,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE39,Screening Status,Indicates if clinical screening has been performed,Coding,,,,,,,,,,,,166663,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE40,Visit Status,Current state of the patient's visit,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,On hold,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Triad,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Under Observation,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,High,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,SO,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Hospitalized,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Absent,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,self-completion,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE41,Removal Reason,Reason for removing user from waiting list,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE42,Reschedule,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE43,Cancel,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE44,Change of doctors,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE45,Reason for Cancellation,Free-text explanation for cancelling,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE46,Rescheduling Date,New date for the rescheduled appointment,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE47,Reason for Rescheduling,Free-text explanation for rescheduling,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE48,Doctor's Name (Change),Name of the new doctor,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE49,Doctor's Name,Name of the doctor whose schedule is being viewed,Codes,Selected from the list of doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE50,Appointment Count per Day,Number of appointments on a given day,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Consultation(Attend to patient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE50,Vital signs,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE51,Main Complaint,,String,,,,,,,,,,,,,,,,,,,,,,LP76016-2,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE52,Current Medical History,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE53,Psychomotor Development,,Coding,,,,,,,,,,,,160277,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE54,Chronic Disease (Patient),,Coding,,,,,,,,,,,,155569,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE55,Year of Diagnosis (Chronic),,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE56,Family History of Chronic Disease,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE57,Previous Illnesses,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE58,Allergies,Indicates whether the patient has an allergy,Boolean,,,,,,,,,,,,160557,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE59,Drug Allergy Flag,Indicates the patient has a known drug allergy,Boolean,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE60,Allergy – Medications,List of medications the patient is allergic to,Coding,,,,,,,,,,,,160558,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE61,Food Allergy Flag,Indicates the patient has a known food allergy,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE62,Allergy – Food,Description of food items causing allergy,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE63,Other Allergy Flag,Indicates the patient has other types of allergy,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE64,Allergy – Other,Description of other allergies,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE65,Allergy Reactions,Observed or reported reactions to the allergen,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE66,Allergy Severity,Severity classification of the allergic reaction,Coding,,,,,,,,,,,,160759,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE67,"Family, Dietary, and Psychosocial History",,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE68,Food History,Description of the patient's dietary habits,String,,,,,,,,,,,,,,,,,,,,,,77298-8,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE69,Family History,Narrative of relevant family medical history,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE70,Housing,Description of the patient's housing conditions,String,,,,,,,,,,,,,,,,,,,,,,LP448184-4,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE71,Number of People in Household,Total number of people living in the patient's home,String,,,,,,,,,,,,,,,,,,,,,,86639-2,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE72,Water Access,Whether the household has access to clean water,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE73,Sewage Access,Whether the household has sewage infrastructure,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE74,Father's Occupation,Father's stated occupation,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE75,Father's Education Level,Highest level of education attained by the father,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE76,Mother's Occupation,Mother's stated occupation,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE77,Mother's Education Level,Highest level of education attained by the mother,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE78,Family Income,Household income information,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE79,Alcohol Habits,Whether the patient consumes alcohol,String,,,,,,,,,,,,159449,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE80,Alcohol Comments,Additional notes on alcohol consumption,String,,,,,,,,,,,,,,,,,,,,,,69697-1,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE81,Smoking Habits,Whether the patient smokes,String,,,,,,,,,,,,163201,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE82,Smoking Comments,Additional notes on smoking habits,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE83,Previous Trips,Whether the patient has made relevant previous travel,String,,,,,,,,,,,,162605,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE84,Previous Trips Comments,Details of previous travel relevant to the consultation,String,,,,,,,,,,,,,,,,,,,,,,LP448187-7,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE85,Personal History Pediatrics/Neonatology,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE86,Mother's Age,Age of the patient's mother at time of birth,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE87,Number of Prenatal Consultations,Total prenatal visits attended by the mother,Quantity,,,,,,,,,,,,,,,,,,,,,,	68493-6,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE88,VDRL Result,Result of the VDRL syphilis screening test during pregnancy,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE89,HIV Result (Prenatal),HIV test result recorded during prenatal care,String,,,,,,,,,,,,159427,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE90,Number of Children,Total number of children the mother has had,Quantity,,,,,,,,,,,,5558,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE91,Children Alive,Number of the mother's children currently alive,Quantity,,,,,,,,,,,,164894,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE92,Children Deceased,Number of the mother's children who have died,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE93,Delivery Location,Place where the patient was born,Coding,,,,,,,,,,,,1572,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE94,Type of Delivery,Method of childbirth,Coding,,,,,,,,,,,,5630,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE95,Gestational Age at Birth (weeks),Number of weeks of gestation at the time of delivery,Quantity,,,,,,,,,,,,,,,,,,,,,,49051-6,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE96,Single Pregnancy,Whether the birth was a singleton pregnancy,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE97,Twin Pregnancy,Whether the birth was a twin pregnancy,Boolean,,,,,,,,,,,,111772,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE98,Birth Weight (g),Patient's weight at birth in grams,Quantity,,,,,,,,,,,,,,,,,,,,,,56056-5,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE99,Head Circumference at Birth (cm),Patient's head circumference at birth,Quantity,,,,,,,,,,,,,,,,,,,,,,8291-7,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE100,Apgar Score,Apgar score assessed at birth,Quantity,,,,,,,,,,,,,,,,,,,,,,9273-4,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE101,Breastfeeding Type,Type of feeding the patient received as a newborn,Coding,,,,,,,,,,,,169176,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE102,Weaning Age (months),Age in months at which the patient was weaned,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE103,Reason for Weaning,Explanation for early or specific weaning,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE104,Menstrual History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE105,Menarche Flag,Whether the patient has experienced menarche,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE106,Menarche Age,Age at which the patient first menstruated,Quantity,,,,,,,,,,,,160598,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE107,Menopause Flag,Whether the patient has undergone menopause,Boolean,,,,,,,,,,,,134346,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE108,Menopause Age,Age at which the patient entered menopause,Quantity,,,,,,,,,,,,160599,,,,,,,,,,42802-9,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE109,Date of Second-to-Last Menstrual Period,Date of the penultimate menstrual period,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE110,Date of Last Menstrual Period,Date of the most recent menstrual period,Date,,,,,,,,,,,,1427,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE111,Cycle Periodicity (days),Typical length of the patient's menstrual cycle in days,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE112,Flow Characteristics,"Description of menstrual flow (e.g., heavy, light, clots)",String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE113,Pregnant,Whether the patient is currently pregnant,Boolean,,,,,,,,,,,,5272,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE114,Gestational Age (weeks),Current gestational age in weeks,Quantity,,,,,,,,,,,,,,,,,,,,,,49051-6,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE115,Breastfeeding (Current),Whether the patient is currently breastfeeding,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE116,Vaccination,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE117,Vaccine Dose,Dose number of the vaccine being administered,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
