Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.G.General,MISAU.G.DE138,Abdominal Circumference (cm),Patient's abdominal/waist circumference,Boolean,,,,,,,,,,,,,,,,,,,,,,LP31969-6,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE139,Arm Circumference (cm),Mid-upper arm circumference,Boolean,,,,,,,,,,,,1343,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE140,Nutritional Assessment,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE141,Weight/Age Classification,Nutritional classification based on weight-for-age z-score,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE142,Weight/Height Classification (< 2 yrs),Nutritional classification based on weight-for-height z-score for children under 2,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE143,Weight/Height Classification (≥ 2 yrs),Nutritional classification based on weight-for-height z-score for children ≥ 2,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE144,BMI/Age Classification,Nutritional classification based on BMI-for-age z-score,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE145,Biotype,Body type classification for adult patients,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE146,Body Mass Index (BMI),BMI calculated as weight (kg) ÷ height² (m),Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE147,Nutritional Status (Adult),Nutritional classification for adult patients,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE148,Vital Signs,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE149,Temperature (°C),Body temperature measured in degrees Celsius,Boolean,,,,,,,,,,,,5088,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE150,Heart Rate (bpm),Number of heartbeats per minute,Boolean,,,,,,,,,,,,,,,,,,,,,,8867-4,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE151,Respiratory Rate,Number of breaths per minute,Boolean,,,,,,,,,,,,,,,,,,,,,,9279-1,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE152,Blood Pressure – Systolic,Systolic component of the blood pressure reading,Boolean,,,,,,,,,,,,,,,,,,,,,,55284-4,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE153,Blood Pressure – Diastolic,Diastolic component of the blood pressure reading,Boolean,,,,,,,,,,,,,,,,,,,,,,55284-4,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE154,Oxygen Saturation (%),Peripheral oxygen saturation level,Boolean,,,,,,,,,,,,,,,,,,,,,,LP21258-6,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE155,Pulse Site,Anatomical location where pulse was measured,Coding,,,,,,,,,,,,,,,,,,,,,,LP73212-0,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE156,Radial,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE157,Brachial,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE158,Carotid,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE159,Popliteal,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE160,Femoral,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE161,Pedious,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE162,Pulse Rate (bpm),Pulse beats per minute at the measured site,Boolean,,,,,,,,,,,,,,,,,,,,,,LA9361-2,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE163,Pulse State,Regularity of the pulse rhythm,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE164,Pulse Amplitude,Strength/amplitude of the pulse,Boolean,,,,,,,,,,,,,,,,,,,,,,LP96295-8,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE165,Regional Physical Examination- Adult,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE166,Skin,Findings on skin inspection,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE167,Mucous Membranes,Findings on mucous membrane examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE168,Body Hair / Hair,Findings on hair and body hair examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE169,Nails,Findings on nail inspection,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE170,Skull,Findings on skull examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE171,Face,Findings on facial examination (ENT requirement),String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE172,Eyes,Findings on ocular examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE173,Nose and Paranasal Sinuses,Findings on nasal and sinus examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE174,Ear and Auricle,Findings on ear examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE175,Oropharynx,Findings on oropharyngeal examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE176,Neck,Findings on neck examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE177,Chest,Findings on chest inspection,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE178,Cardiovascular Examination,Cardiovascular auscultation and examination findings,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE179,Respiratory Examination,Respiratory auscultation and examination findings,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE180,Abdomen,Findings on abdominal examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE181,Genitalia,Findings on genital examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE182,Extremities,Findings on limb examination including oedema status,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE184,Regional Physical Examination- Pediatrics,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE185,Skin and Mucous Membranes (Ped),Combined skin and mucous membrane findings for pediatric patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE186,Lymph Nodes,Findings on lymph node palpation,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE187,"Eyes, Ears and Nose (Ped)",Combined ENT findings for pediatric patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE188,Mouth and Oropharynx (Ped),Oral and oropharyngeal findings for pediatric patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE189,Lung Auscultation,Respiratory auscultation findings,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE190,Cardiac Auscultation,Cardiac auscultation findings,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE191,Genitals and Anus,Genital and anal findings for pediatric patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE192,Spine and Limbs,Findings on spinal column and limb examination,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE194,Type of Pain,Clinical classification of the pain type,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE195,Neurological,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE196,Musculoskeletal,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE197,Neuropathic,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE198,Pain Scale,Numeric pain intensity scale selected by clinician,Quantity,Can be from 0-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE199,Pain Intensity,Verbal descriptor of pain severity derived from scale score,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE200,Neurological Examination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE201,GCS Total Score (Neuro),Derived GCS score displayed in neurological examination section,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE202,Pupil Diameter Symmetry,Symmetry of pupillary diameter,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE203,,Isochoric,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE204,,Anisochoric,Codes,"If selected, gives a free-text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE205,Pupil Diameter,Pupillary diameter classification,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE206,,Mydriatics,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE207,,Miotics,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE208,Pupil Response to Light,Reactivity of pupils to light stimulus,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE209,"Light-reactive,",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE210,Not very reactive,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE211,Non-reactive,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE212,Muscle Strength Classification,Medical Research Council (MRC) muscle strength grading,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE213,1 - No Movement,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE214,2 - Weak,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE215,3 - Regular,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE216,4 - Good,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE217,5-Normal,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE218,Location of Deficit,Anatomical location of motor deficit,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE219,Meningeal Signs,Presence of meningeal irritation signs,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE220,Neck Stiffness,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE221,Sinal de Kernig,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE222,Sinal de Brudzinski,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE223,Neurological Notes,Additional clinician notes on neurological findings,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE224,Reflexes (Ped),Reflex findings for pediatric/neonatal patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE225,Muscle Tone (Ped),Muscle tone findings for pediatric/neonatal patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE226,Muscle Strength (Ped),Muscle strength findings for pediatric/neonatal patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE227,Gait (Ped),Gait assessment for pediatric patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE228,Speech (Ped),Speech assessment for pediatric patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE229,Pupils (Ped),Pupil assessment for pediatric/neonatal patients,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE230,Medical Reassessment,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE231,Reassessment Note,Clinical note documenting the patient's reassessment,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE232,Clinical Evolution,Clinician's assessment of how the patient's condition has evolved,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE233,,Improvement,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE234,,Stationary,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE235,,Gets worse,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE236,Disease Screening,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE237,Mother's Serological Status Known (Ped),Whether the mother's serological status is known,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE238,Child's Serological Status Known,Whether the child's serological status is known,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE239,User Serological Status Unknown,Whether the adult patient's HIV serological status is unknown,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE240,TB Exposure (Last 12 Months),Whether the patient has been exposed to TB in the past year,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE241,TB Signs and Symptoms,Whether the patient presents signs/symptoms of tuberculosis,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE242,Tested for Malaria,Whether the patient has been tested for malaria,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE244,Side Effect – Medication,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE245,Type of Side Effect,,Coding,"Abdominal Pain,  Nausea/Vomiting, Diarrhea,  Peripheral Neuropathy, Skin Rash, Hyperglycaemia, Dyslipidaemia, Lipodystrophy, CIT Pancreatitis, Nephrotoxicity, Hepatitis, Stevens-Johnson Syndrome, Hypersensitivity ABC/RAL, Lactic Acid, Hepatic Steatosis, Neuropsychiatric, Gynecomastia | Unwanted Weight Gain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE246,Degree of Side Effect,,Coding,"I – Light
II - Moderate
III – Severus
IV – Risk of life

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE247,,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE248,Additional Tests Requisition,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE249,Laboratory test request,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE250,Priority,,Boolean,"Normal, Urgent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE251,Laboratory test,,Coding,All the laboratory tests in the system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE252,Sample Type,Type of biological sample required,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE253,Exam Date,Date the test is to be performed,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE254,Department,Department where the test was requested,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE255,Service,Clinical service that made the request,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE256,Date and Time of Request,Timestamp of when the test was requested,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE257,Exam Group,Laboratory grouping for the exam,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE258,Clinician,Name of the clinician who placed the request,String,"Pending, Finished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE259,Exam Status,Processing state of the exam,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE260,Request Date,Date the test request was created,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE261,Exam Name,Name of the specific test,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE262,Result,Outcome value recorded for the test,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE263,Reference Value,Normal/expected range for the test result,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE264,Number,Sequential order number of the test in the group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE265,Imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE266,Radiology Tests,Selected radiology examination(s),Coding,List of radiological tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE267,MRI Tests,Selected MRI examination(s),Coding,List of MRI tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE268,Ultrasound Tests,Selected ultrasound examination(s),Coding,List of all available ultrasound tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE269,Further Observations (Imaging),Additional clinical notes for imaging request,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE270,Exam Date (Imaging),Date the imaging exam is to be performed,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE271,Results,Recorded outcome of the imaging exam,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE272,Clinician's name,Name of the requesting clinician,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE273,Reference Value,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE274,Rapid Tests,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE275,Exam name/Result,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE276,Malaria,Result of Malaria rapid test,Coding,"Positive, Negative, Invalid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE277,HIV,Result of HIV Rapid test,Coding,"Positive, Negative, undetermined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE278,Syphilis,Result of Syphilis rapid test,Coding,"Positive, Negative, undetermined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE279,Pregnancy,Result of pregnancy test,Coding,"Positive, Negative, Invalid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE280,Covid,Result of covid rapid test,Coding,"Positive, Negative, invalid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE281,Hepatitis B,Result of Hepatitis B,Coding,"Positive, Negative, undetermined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DIAGNOSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE281,Date and Time of Diagnosis,Date and time when the diagnosis was recorded,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE282,Service,Clinical service under which diagnosis was made,Coding,List of services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE283,Diagnosis,ICD-10 diagnosis code or designation,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE284,Type of Diagnosis,Classification of the diagnosis status,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE285,Provisional,Provisional diagnosis,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE286,Confirmed,Confirmed diagnosis,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE287,Clinician's Name,Name of the clinician who recorded the diagnosis,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE288,Stadium,Clinical stage of Kaposi's sarcoma (C46),Coding,T0S0 (165385) | T0S1 (233808) | T1S0 (165387) | T1S1 (165388),,,Enabled only when Diagnosis = C46 – Kaposi's sarcoma; Concept ID 507,Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCHARGE,,,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,Discharge Request,,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE288,Date of Admission,"Patient admission date (non-editable, auto-retrieved)",Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE289,Discharge Date,Date of discharge; auto-populated with option for clinician edit,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE290,Type of Discharge,Category of discharge selected by clinician,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE291,continue with outpatient consultations.,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE292,Clinic with treatment completed.,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE293,Abandonment,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE294,Upon request,,Codes,"Indicate: Applicant's Name
Applicant's Address
Applicant Contact Information
Reason for Request
Type of Transport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE295,Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE296,Length of Hospitalization before Death,"If discharge type is death, the duration the patient stayed in the facility before death",,"Before 48 hours of hospitalization
After 48 hours of hospitalization
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE297,Transfer to another,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE298,Overall Result,"Patient outcome at discharge, options vary by discharge type",Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE299,For high-risk death type,,Codes,"No autopsy
Anatomical-pathological autopsy
Medico-legal autopsy
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE300,Cured,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE301,Improved,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE302,Stationary,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE303,Worse,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE304,Undetermined,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE305,No disease,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE306,Degree of disability,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE307,Established Therapy,Summary of treatment provided during episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
